Nº,Giocatore,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,SR,PF,PFD,PIR,EFF,+/-
6,Matteo Molteni,27:21,6,2,4,50.0%,0,2,0.0%,2,2,100.0%,2,2,100.0%,1,8,9,0,3,0,0,0,1,0,9,10,-14
7,Enrico Vavassori,07:42,0,0,2,0.0%,0,0,0.0%,0,2,0.0%,0,0,0.0%,0,2,2,0,3,0,0,0,1,0,-4,-3,-5
9,Stefano Nava,25:48,11,4,7,57.1%,2,4,50.0%,2,3,66.7%,1,2,50.0%,0,1,1,2,3,1,0,0,2,0,6,8,-11
10,Samuele Martinucci,05:10,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,2,1,0,0,0,0,-1,-1,-3
11,Lorenzo Maraffio,16:03,11,4,11,36.4%,0,4,0.0%,4,7,57.1%,3,4,75.0%,2,3,5,1,3,2,0,0,0,0,8,8,-11
12,Stefano Biavaschi,11:39,3,1,3,33.3%,0,0,0.0%,1,3,33.3%,1,2,50.0%,0,1,1,2,1,2,0,0,3,0,1,4,-1
14,Giovanni Geronimi,15:34,1,0,2,0.0%,0,1,0.0%,0,1,0.0%,1,2,50.0%,1,3,4,2,3,4,0,0,3,0,2,5,9
15,Nicolò Donà,00:00,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,-
16,Andrea Biavaschi,19:51,1,0,3,0.0%,0,0,0.0%,0,3,0.0%,1,3,33.3%,1,3,4,0,5,1,0,0,1,0,-5,-4,-10
20,Simone Allievi,08:46,0,0,2,0.0%,0,1,0.0%,0,1,0.0%,0,0,0.0%,0,1,1,2,0,1,0,0,0,0,2,2,1
21,Federico Geronimi,27:06,4,2,2,100.0%,0,0,0.0%,2,2,100.0%,0,0,0.0%,0,3,3,1,2,2,0,0,1,0,7,8,2
23,Mirko Donà,35:00,14,6,16,37.5%,0,4,0.0%,6,12,50.0%,2,6,33.3%,2,7,9,0,7,6,0,0,1,0,7,8,-2
,Totale,,51,19,52,36.5%,2,16,12.5%,17,36,47.2%,11,21,52.4%,7,32,39,10,32,20,0,0,13,0,32,45,-
Avversari,Totale,Casa,60,,,,,,,,,,,,,,,,,,,,,,,,
