Nº,Giocatore,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,SR,PF,PFD,PIR,EFF,+/-
6,Matteo Molteni,31:26,5,1,3,33.3%,1,2,50.0%,0,1,0.0%,2,2,100.0%,1,9,10,1,1,1,0,0,1,0,13,14,5
7,Enrico Vavassori,04:05,0,0,1,0.0%,0,0,0.0%,0,1,0.0%,0,0,0.0%,0,1,1,0,0,0,0,0,0,0,0,0,-6
9,Stefano Nava,13:54,3,1,6,16.7%,0,4,0.0%,1,2,50.0%,1,6,16.7%,0,1,1,0,1,0,0,0,1,0,-8,-7,4
11,Lorenzo Maraffio,14:08,5,2,5,40.0%,1,4,25.0%,1,1,100.0%,0,0,0.0%,1,0,1,0,1,0,0,0,1,0,1,2,0
12,Stefano Biavaschi,27:08,12,3,15,20.0%,0,5,0.0%,3,10,30.0%,6,10,60.0%,4,1,5,1,0,0,0,0,4,0,-2,2,9
13,Alfredo Ratti,20:23,7,3,7,42.9%,0,1,0.0%,3,6,50.0%,1,2,50.0%,6,5,11,0,0,0,1,0,1,0,13,14,8
14,Giovanni Geronimi,05:24,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,0,0,0,0,1,0,-1,0,-4
16,Nicola Scaramellini,14:13,0,0,1,0.0%,0,0,0.0%,0,1,0.0%,0,2,0.0%,1,0,1,0,1,0,0,0,3,0,-6,-3,2
18,Maxwuel Farovini,23:01,8,3,7,42.9%,2,5,40.0%,1,2,50.0%,0,0,0.0%,1,8,9,0,0,1,2,0,4,0,12,16,4
20,Simone Allievi,02:38,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,-1
21,Geronimi Federico,15:52,0,0,2,0.0%,0,1,0.0%,0,1,0.0%,0,0,0.0%,0,2,2,0,0,2,0,0,3,0,-1,2,5
23,Mirko Doná,27:48,21,6,19,31.6%,2,9,22.2%,4,10,40.0%,7,8,87.5%,2,5,7,1,1,1,0,0,3,0,12,15,4
,Totale,,61,19,66,28.8%,6,31,19.4%,13,35,37.1%,17,30,56.7%,16,32,48,3,5,5,3,0,22,0,33,55,-
Avversari,Totale,Casa,55,,,,,,,,,,,,,,,,,,,,,,,,
