Nº,Giocatore,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,SR,PF,PFD,PIR,EFF,+/-
6,Matteo Molteni,24:27,4,2,9,22.2%,0,4,0.0%,2,5,40.0%,0,0,0.0%,0,7,7,3,3,2,0,0,0,0,6,6,8
8,Andrea Lucantoni,11:49,2,1,1,100.0%,0,0,0.0%,1,1,100.0%,0,0,0.0%,0,0,0,1,2,0,0,0,1,0,0,1,15
12,Stefano Biavaschi,21:33,12,5,12,41.7%,2,6,33.3%,3,6,50.0%,0,0,0.0%,0,3,3,7,2,2,0,0,2,0,13,15,28
13,Alfredo Ratti,16:41,4,1,4,25.0%,0,1,0.0%,1,3,33.3%,2,2,100.0%,3,5,8,2,1,1,0,0,1,0,10,11,3
14,Giovanni Geronimi,17:30,8,3,4,75.0%,1,1,100.0%,2,3,66.7%,1,2,50.0%,1,1,2,0,2,2,0,0,0,0,8,8,11
16,Antonio Fulghieri,15:12,9,4,5,80.0%,0,0,0.0%,4,5,80.0%,1,2,50.0%,2,2,4,0,1,1,3,0,0,0,14,14,19
18,Maxwuel Farovini,15:24,0,0,5,0.0%,0,3,0.0%,0,2,0.0%,0,2,0.0%,2,3,5,3,2,0,1,0,1,0,-1,0,17
20,Simone Allievi,17:39,8,2,7,28.6%,1,2,50.0%,1,5,20.0%,3,3,100.0%,1,0,1,0,2,0,0,0,1,0,1,2,16
21,Federico Geronimi,24:27,11,4,9,44.4%,1,3,33.3%,3,6,50.0%,2,2,100.0%,0,5,5,4,2,1,0,0,0,0,14,14,15
23,Mirko Donà,28:17,18,7,12,58.3%,2,4,50.0%,5,8,62.5%,2,5,40.0%,3,7,10,5,1,4,0,0,3,0,25,28,19
24,Marcello Bellinato,07:01,0,0,2,0.0%,0,0,0.0%,0,2,0.0%,0,0,0.0%,0,1,1,0,0,0,0,0,0,0,-1,-1,-1
,Totale,,76,29,70,41.4%,7,24,29.2%,22,46,47.8%,11,18,61.1%,12,34,46,25,18,13,4,0,9,0,89,98,-
Avversari,Totale,Trasferta,46,,,,,,,,,,,,,,,,,,,,,,,,,
