Nº,Giocatore,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,SR,PF,PFD,PIR,EFF,+/-
6,Matteo Molteni,30:23,2,0,7,0.0%,0,3,0.0%,0,4,0.0%,2,2,100.0%,1,5,6,5,1,1,0,0,2,0,4,6,-5
8,Andrea Lucantoni,04:15,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,1,0,0,0,0,0,-1,-1,-2
9,Stefano Nava,24:31,12,4,9,44.4%,1,3,33.3%,3,6,50.0%,3,6,50.0%,0,3,3,1,1,0,0,0,3,0,4,7,12
10,Samuele Martinucci,01:53,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,-1
12,Stefano Biavaschi,24:22,16,6,16,37.5%,2,7,28.6%,4,9,44.4%,2,2,100.0%,3,3,6,1,3,2,0,0,3,0,9,12,11
13,Alfredo Ratti,26:17,8,3,8,37.5%,0,1,0.0%,3,7,42.9%,2,9,22.2%,5,6,11,2,2,0,0,0,2,0,5,7,14
14,Giovanni Geronimi,19:54,2,1,3,33.3%,0,0,0.0%,1,3,33.3%,0,0,0.0%,2,2,4,0,1,1,0,0,0,0,4,4,-6
16,Antonio Fulghieri,05:03,4,2,4,50.0%,0,0,0.0%,2,4,50.0%,0,0,0.0%,1,1,2,0,0,0,0,0,2,0,2,4,-5
18,Maxwuel Farovini,12:32,0,0,4,0.0%,0,4,0.0%,0,0,0.0%,0,0,0.0%,0,3,3,2,0,0,0,0,3,0,-2,1,6
21,Federico Geronimi,17:52,0,0,6,0.0%,0,2,0.0%,0,4,0.0%,0,0,0.0%,1,4,5,0,2,0,0,0,1,0,-4,-3,8
22,Nicola Scaramellini,01:53,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,-1
23,Mirko Donà,31:05,18,5,15,33.3%,2,8,25.0%,3,7,42.9%,6,6,100.0%,4,6,10,1,4,3,0,0,3,0,15,18,9
,Totale,,62,21,72,29.2%,5,28,17.9%,16,44,36.4%,15,25,60.0%,17,33,50,12,15,7,0,0,19,0,36,55,-
Avversari,Totale,Casa,54,,,,,,,,,,,,,,,,,,,,,,,,,
