Nº,Giocatore,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,SR,PF,PFD,PIR,EFF,+/-
6,Matteo Molteni,42:51,9,2,7,28.6%,2,6,33.3%,0,1,0.0%,3,6,50.0%,1,3,4,5,0,3,0,0,2,0,11,13,10
8,Andrea Lucantoni,04:10,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,0,0,0,0,2,0,-2,0,4
9,Stefano Nava,15:51,5,2,6,33.3%,0,1,0.0%,2,5,40.0%,1,3,33.3%,0,1,1,0,2,0,0,0,3,0,-5,-2,-12
12,Stefano Biavaschi,19:05,9,4,9,44.4%,1,3,33.3%,3,6,50.0%,0,1,0.0%,0,1,1,3,3,1,1,0,5,0,1,6,9
13,Alfredo Ratti,41:43,12,3,7,42.9%,0,1,0.0%,3,6,50.0%,6,7,85.7%,5,6,11,2,3,1,0,0,3,0,15,18,9
14,Giovanni Geronimi,07:42,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,1,1,0,1,0,0,0,0,0,0,0,-7
16,Antonio Fulghieri,27:55,6,3,8,37.5%,0,0,0.0%,3,8,37.5%,0,0,0.0%,1,0,1,3,0,0,1,0,1,0,5,6,8
18,Maxwuel Farovini,06:53,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,2,1,0,0,2,0,-3,-1,-13
20,Simone Allievi,05:34,1,0,1,0.0%,0,0,0.0%,0,1,0.0%,1,2,50.0%,0,1,1,1,0,0,0,0,1,0,0,1,7
21,Federico Geronimi,14:48,2,1,6,16.7%,0,1,0.0%,1,5,20.0%,0,0,0.0%,0,4,4,3,3,1,0,0,3,0,-1,2,6
22,Nicola Scaramellini,20:42,2,1,2,50.0%,0,0,0.0%,1,2,50.0%,0,0,0.0%,1,0,1,1,0,0,0,0,1,0,2,3,-2
23,Mirko Donà,42:46,23,8,16,50.0%,2,6,33.3%,6,10,60.0%,5,6,83.3%,2,6,8,0,1,3,0,0,3,0,21,24,1
,Totale,,69,24,62,38.7%,5,18,27.8%,19,44,43.2%,16,25,64.0%,10,23,33,18,15,10,2,0,26,0,44,70,-
Avversari,Totale,Trasferta,65,,,,,,,,,,,,,,,,,,,,,,,,
