Nº,Giocatore,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,SR,PF,PFD,PIR,EFF,+/-
6,Matteo Molteni,30:08,3,1,5,20.0%,1,2,50.0%,0,3,0.0%,0,0,0.0%,3,4,7,5,2,3,1,0,2,0,11,13,29
7,Enrico Vavassori,10:48,10,3,8,37.5%,0,1,0.0%,3,7,42.9%,4,4,100.0%,1,2,3,2,1,0,0,0,0,0,9,9,6
10,Samuele Martinucci,04:05,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,1,1,0,1,0,0,0,1,0,-1,0,-3
11,Lorenzo Maraffio,23:38,11,4,10,40.0%,1,5,20.0%,3,5,60.0%,2,2,100.0%,1,3,4,3,2,4,0,0,3,0,11,14,16
12,Stefano Biavaschi,31:48,24,9,19,47.4%,4,10,40.0%,5,9,55.6%,2,4,50.0%,1,3,4,5,2,7,1,0,1,0,26,27,39
14,Giovanni Geronimi,17:10,5,2,5,40.0%,1,2,50.0%,1,3,33.3%,0,0,0.0%,0,1,1,1,0,2,0,0,2,0,4,6,14
18,Maxwuel Farovini,14:19,5,2,6,33.3%,1,5,20.0%,1,1,100.0%,0,1,0.0%,0,0,0,0,1,2,0,0,2,0,-1,1,12
20,Simone Allievi,10:40,2,1,3,33.3%,0,2,0.0%,1,1,100.0%,0,0,0.0%,0,0,0,0,0,0,0,0,2,0,-2,0,-21
21,Federico Geronimi,22:50,7,3,6,50.0%,1,1,100.0%,2,5,40.0%,0,0,0.0%,0,1,1,0,1,4,0,0,1,0,7,8,8
22,Nicola Scaramellini,06:48,0,0,2,0.0%,0,0,0.0%,0,2,0.0%,0,0,0.0%,2,1,3,0,1,1,0,0,1,0,0,1,3
23,Mirko Donà,24:53,16,6,15,40.0%,3,5,60.0%,3,10,30.0%,1,3,33.3%,7,2,9,1,1,1,0,0,2,0,13,15,7
24,Marcello Bellinato,02:53,3,1,1,100.0%,1,1,100.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,0,0,0,0,0,0,3,3,0
,Totale,,86,32,80,40.0%,13,34,38.2%,19,46,41.3%,9,14,64.3%,15,18,33,17,12,24,2,0,17,0,80,97,-
Avversari,Totale,Casa,64,,,,,,,,,,,,,,,,,,,,,,,,
