Nº,Giocatore,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,SR,PF,PFD,PIR,EFF,+/-
6,Matteo Molteni,23:52,1,0,4,0.0%,0,2,0.0%,0,2,0.0%,1,2,50.0%,0,2,2,4,3,4,0,0,1,0,2,3,9
9,Stefano Nava,14:59,5,1,5,20.0%,1,1,100.0%,0,4,0.0%,2,6,33.3%,0,3,3,2,3,0,0,0,1,0,-2,-1,8
11,Lorenzo Maraffio,16:44,4,2,4,50.0%,0,1,0.0%,2,3,66.7%,0,0,0.0%,0,2,2,0,0,0,0,0,0,0,4,4,7
12,Stefano Biavaschi,23:06,18,5,11,45.5%,3,4,75.0%,2,7,28.6%,5,6,83.3%,3,3,6,1,5,6,0,0,2,0,17,19,11
13,Alfredo Ratti,19:00,2,1,5,20.0%,0,0,0.0%,1,5,20.0%,0,0,0.0%,1,3,4,0,1,0,0,0,4,0,-3,1,11
14,Giovanni Geronimi,15:26,0,0,2,0.0%,0,0,0.0%,0,2,0.0%,0,0,0.0%,1,3,4,0,1,0,0,0,1,0,0,1,11
16,Antonio Fulghieri,13:40,2,1,4,25.0%,0,0,0.0%,1,4,25.0%,0,0,0.0%,2,4,6,2,1,0,1,0,1,0,6,7,5
18,Maxwuel Farovini,11:23,2,1,4,25.0%,0,1,0.0%,1,3,33.3%,0,0,0.0%,1,1,2,2,1,0,2,0,1,0,3,4,7
20,Simone Allievi,06:42,3,1,4,25.0%,0,3,0.0%,1,1,100.0%,1,1,100.0%,0,0,0,0,3,0,0,0,2,0,-5,-3,-4
21,Federico Geronimi,21:45,9,3,4,75.0%,0,0,0.0%,3,4,75.0%,3,3,100.0%,1,2,3,0,0,0,0,0,1,0,10,11,18
22,Nicola Scaramellini,03:32,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,1,0,1,0,0,0,0,0,0,0,1,1,-5
23,Mirko Donà,29:51,23,8,18,44.4%,1,4,25.0%,7,14,50.0%,6,7,85.7%,5,5,10,0,0,0,0,0,3,0,19,22,7
,Totale,,69,23,65,35.4%,5,16,31.2%,18,49,36.7%,18,25,72.0%,15,28,43,11,18,10,3,0,17,0,52,69,-
Avversari,Totale,Casa,52,,,,,,,,,,,,,,,,,,,,,,,,
