Nº,Giocatore,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,SR,PF,PFD,PIR,EFF,+/-
6,Matteo Molteni,32:26,12,4,12,33.3%,0,5,0.0%,4,7,57.1%,4,6,66.7%,2,8,10,7,0,6,0,0,2,0,23,25,30
7,Enrico Vavassori,09:05,11,5,9,55.6%,1,2,50.0%,4,7,57.1%,0,0,0.0%,2,0,2,0,0,1,0,0,2,0,8,10,11
8,Andrea Lucantoni,05:08,2,1,1,100.0%,0,0,0.0%,1,1,100.0%,0,0,0.0%,0,2,2,0,1,0,0,0,1,0,2,3,1
11,Lorenzo Maraffio,24:56,8,4,8,50.0%,0,3,0.0%,4,5,80.0%,0,0,0.0%,1,1,2,1,3,2,0,0,1,0,5,6,17
12,Stefano Biavaschi,26:15,13,4,18,22.2%,2,5,40.0%,2,13,15.4%,3,7,42.9%,3,3,6,3,5,6,0,0,1,0,4,5,18
13,Alfredo Ratti,31:21,11,4,12,33.3%,0,2,0.0%,4,10,40.0%,3,6,50.0%,5,5,10,2,3,4,0,0,0,0,13,13,27
14,Giovanni Geronimi,13:32,0,0,1,0.0%,0,1,0.0%,0,0,0.0%,0,0,0.0%,1,0,1,2,0,0,0,0,0,0,2,2,11
18,Maxwuel Farovini,18:37,0,0,4,0.0%,0,4,0.0%,0,0,0.0%,0,0,0.0%,1,4,5,0,2,1,0,0,0,0,0,0,15
19,Davide Gambetta,04:59,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,1,1,0,0,0,0,0,0,0,1,1,1
20,Simone Allievi,08:43,0,0,1,0.0%,0,1,0.0%,0,0,0.0%,0,0,0.0%,1,0,1,0,0,0,0,0,1,0,-1,0,-4
21,Federico Geronimi,20:19,12,4,11,36.4%,1,4,25.0%,3,7,42.9%,3,6,50.0%,0,3,3,1,0,0,0,0,3,0,3,6,12
22,Nicola Scaramellini,09:39,1,0,0,0.0%,0,0,0.0%,0,0,0.0%,1,4,25.0%,0,3,3,0,0,0,0,0,3,0,-2,1,1
,Totale,,70,26,77,33.8%,4,27,14.8%,22,50,44.0%,14,29,48.3%,16,30,46,16,14,20,0,0,14,0,58,72,-
Avversari,Totale,Trasferta,42,,,,,,,,,,,,,,,,,,,,,,,,
