Nº,Giocatore,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,SR,PF,PFD,PIR,EFF,+/-
6,Matteo Molteni,16:08,0,0,1,0.0%,0,1,0.0%,0,0,0.0%,0,0,0.0%,1,4,5,3,1,2,0,0,0,0,8,8,16
7,Enrico Vavassori,12:39,6,3,5,60.0%,0,0,0.0%,3,5,60.0%,0,2,0.0%,0,0,0,1,1,1,0,0,0,0,3,3,12
9,Stefano Nava,18:30,14,5,9,55.6%,1,2,50.0%,4,7,57.1%,3,7,42.9%,1,1,2,3,3,3,0,0,1,0,10,11,17
10,Samuele Martinucci,17:28,2,1,3,33.3%,0,2,0.0%,1,1,100.0%,0,0,0.0%,0,4,4,2,2,0,0,0,0,0,4,4,9
11,Lorenzo Maraffio,18:11,10,4,6,66.7%,2,4,50.0%,2,2,100.0%,0,0,0.0%,0,3,3,5,2,0,0,0,2,0,12,14,16
12,Stefano Biavaschi,16:40,14,5,9,55.6%,4,5,80.0%,1,4,25.0%,0,0,0.0%,0,5,5,4,4,4,0,0,0,0,19,19,7
13,Alfredo Ratti,09:06,4,2,4,50.0%,0,1,0.0%,2,3,66.7%,0,1,0.0%,1,3,4,1,2,1,0,0,1,0,4,5,9
16,Nicola Scaramellini,13:53,1,0,0,0.0%,0,0,0.0%,0,0,0.0%,1,4,25.0%,1,2,3,1,0,3,0,0,2,0,3,5,16
18,Maxwuel Farovini,14:55,3,1,3,33.3%,1,3,33.3%,0,0,0.0%,0,0,0.0%,0,7,7,0,0,1,3,0,2,0,10,12,13
20,Simone Allievi,18:24,2,1,4,25.0%,0,1,0.0%,1,3,33.3%,0,0,0.0%,0,0,0,0,1,0,0,0,1,0,-3,-2,27
21,Federico Geronimi,20:16,14,6,9,66.7%,1,2,50.0%,5,7,71.4%,1,1,100.0%,3,0,3,2,1,0,0,0,3,0,12,15,15
22,Nicola Scaramellini,00:00,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,-
23,Mirko Donà,23:50,15,7,13,53.8%,1,4,25.0%,6,9,66.7%,0,0,0.0%,5,2,7,3,0,4,1,0,0,0,24,24,23
,Totale,,85,35,66,53.0%,10,25,40.0%,25,41,61.0%,5,15,33.3%,12,31,43,25,17,19,4,0,12,0,106,118,-
Avversari,Totale,Casa,49,,,,,,,,,,,,,,,,,,,,,,,,
