Nº,Giocatore,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PFD,PIR,EFF,+/-
5,Cinque Manuel,07:54,2,1,5,20.0%,0,0,0.0%,1,5,20.0%,0,0,0.0%,0,0,0,0,0,2,0,1,0,-1,0,6
6,Molteni Matteo,28:17,3,1,5,20.0%,1,4,25.0%,0,1,0.0%,0,0,0.0%,1,4,5,5,1,5,0,1,0,12,13,21
9,Nava Stefano,23:13,17,7,13,53.8%,1,4,25.0%,6,9,66.7%,2,5,40.0%,0,3,3,2,4,0,0,1,0,8,9,12
10,Martinucci Samuele,13:00,2,1,2,50.0%,0,0,0.0%,1,2,50.0%,0,0,0.0%,1,1,2,2,0,1,0,3,0,3,6,6
12,Biavaschi Stefano,16:23,14,6,9,66.7%,1,3,33.3%,5,6,83.3%,1,2,50.0%,1,3,4,3,2,0,0,1,0,14,15,12
13,Ratti Alfredo,20:02,13,5,7,71.4%,2,2,100.0%,3,5,60.0%,1,3,33.3%,5,7,12,2,0,1,0,3,0,21,24,14
14,Geronimi Giovanni,19:07,3,1,2,50.0%,1,1,100.0%,0,1,0.0%,0,0,0.0%,1,2,3,4,1,0,0,3,0,5,8,9
18,Farovini Maxwuel,06:28,3,1,3,33.3%,0,1,0.0%,1,2,50.0%,1,1,100.0%,1,0,1,0,1,1,0,4,0,-2,2,5
20,Allievi Simone,13:50,2,1,4,25.0%,0,1,0.0%,1,3,33.3%,0,0,0.0%,2,1,3,0,0,0,0,2,0,0,2,7
21,Gambetta Davide,11:51,4,2,2,100.0%,0,0,0.0%,2,2,100.0%,0,0,0.0%,0,4,4,0,0,0,0,0,0,8,8,3
22,Fulghieri Antonio,15:08,8,4,9,44.4%,0,0,0.0%,4,9,44.4%,0,0,0.0%,2,3,5,1,0,1,0,1,0,9,10,8
23,Donà Mirko,24:47,10,4,15,26.7%,0,2,0.0%,4,13,30.8%,2,2,100.0%,5,3,8,0,0,1,0,3,0,5,8,12
,Totale,,81,34,76,44.7%,6,18,33.3%,28,58,48.3%,7,13,53.8%,19,31,50,19,9,12,0,23,0,82,105,-
Avversari,Totale,Casa,53,,,,,,,,,,,,,,,,,,,,,,,,
