Nº,Giocatore,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PFD,PIR,EFF,+/-
2,Del Giorgio Daniel,07:27,2,1,2,50.0%,0,0,0.0%,1,2,50.0%,0,0,0.0%,0,0,0,0,1,0,0,0,0,0,0,-5
3,Cuneo Bruno,24:52,5,2,16,12.5%,1,7,14.3%,1,9,11.1%,0,0,0.0%,1,1,2,1,4,3,0,1,0,-8,-7,10
4,Fumagalli Matteo,06:39,4,2,4,50.0%,0,0,0.0%,2,4,50.0%,0,0,0.0%,1,1,2,0,3,0,0,0,0,1,1,3
7,Barbaro Andrea,09:49,0,0,5,0.0%,0,2,0.0%,0,3,0.0%,0,0,0.0%,2,1,3,0,2,0,0,3,0,-7,-4,-2
8,Cipriani Pablo,20:24,0,0,7,0.0%,0,2,0.0%,0,5,0.0%,0,0,0.0%,0,0,0,0,5,1,0,3,0,-14,-11,-3
9,Sceffer Matteo,16:50,2,1,7,14.3%,0,0,0.0%,1,7,14.3%,0,0,0.0%,1,3,4,1,3,0,0,1,0,-3,-2,-10
11,Scuda Ettore,19:09,6,3,10,30.0%,0,3,0.0%,3,7,42.9%,0,0,0.0%,3,1,4,0,1,2,0,2,0,2,4,7
13,Gianera Leonardo,22:47,21,8,14,57.1%,0,2,0.0%,8,12,66.7%,5,6,83.3%,3,7,10,1,3,4,0,4,0,22,26,12
14,Geronimi Arianna,09:32,0,0,3,0.0%,0,0,0.0%,0,3,0.0%,0,0,0.0%,1,1,2,0,1,1,0,0,0,-1,-1,-12
16,Maraffio Emma,09:04,2,0,1,0.0%,0,0,0.0%,0,1,0.0%,2,2,100.0%,2,0,2,0,2,1,0,0,0,2,2,-8
18,Ravo Alessandro,34:00,6,3,8,37.5%,0,0,0.0%,3,8,37.5%,0,0,0.0%,11,6,17,3,9,6,0,2,0,16,18,-4
19,Morelli Mariele,19:27,0,0,3,0.0%,0,1,0.0%,0,2,0.0%,0,0,0.0%,3,5,8,0,0,3,0,4,0,4,8,-8
,Totale,,48,20,80,25.0%,1,17,5.9%,19,63,30.2%,7,8,87.5%,28,26,54,6,34,21,0,20,0,14,34,-
Avversari,Totale,Casa,52,,,,,,,,,,,,,,,,,,,,,,,,
