Nº,Giocatore,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,SR,PF,PFD,PIR,EFF,+/-
2,Daniel Del Giorgio,14:22,0,0,4,0.0%,0,0,0.0%,0,4,0.0%,0,0,0.0%,0,1,1,0,3,3,0,0,0,0,-3,-3,2
3,Bruno Cuneo,15:01,4,2,9,22.2%,0,1,0.0%,2,8,25.0%,0,0,0.0%,0,0,0,0,2,5,0,0,1,0,-1,0,8
7,Andrea Barbaro,17:18,0,0,3,0.0%,0,2,0.0%,0,1,0.0%,0,2,0.0%,3,1,4,0,0,0,0,0,3,0,-4,-1,10
8,Pablo Cipriani,27:58,12,5,14,35.7%,2,3,66.7%,3,11,27.3%,0,5,0.0%,2,2,4,1,10,5,0,0,0,0,-2,-2,14
9,Matteo Sceffer,30:41,6,2,6,33.3%,0,0,0.0%,2,6,33.3%,2,5,40.0%,1,1,2,1,4,1,0,0,0,0,-1,-1,12
11,Ettore Scuda,11:59,2,1,2,50.0%,0,0,0.0%,1,2,50.0%,0,0,0.0%,0,1,1,0,3,0,0,0,0,0,-1,-1,0
12,Marco Agostino,15:31,0,0,1,0.0%,0,0,0.0%,0,1,0.0%,0,0,0.0%,0,3,3,0,0,2,1,0,2,0,3,5,10
15,Matteo Martinucci,12:17,0,0,1,0.0%,0,0,0.0%,0,1,0.0%,0,0,0.0%,1,1,2,0,0,0,0,0,1,0,0,1,5
16,Leonardo Gianera,19:54,19,9,14,64.3%,0,0,0.0%,9,14,64.3%,1,4,25.0%,2,7,9,2,3,3,2,0,4,0,20,24,18
17,Ettore Morelli,16:00,2,1,2,50.0%,0,0,0.0%,1,2,50.0%,0,0,0.0%,2,1,3,0,3,1,0,0,0,0,2,2,3
18,Alessandro Ravo,28:59,12,4,9,44.4%,1,1,100.0%,3,8,37.5%,3,4,75.0%,3,13,16,4,5,2,3,0,3,0,23,26,13
,Totale,,57,24,65,36.9%,3,7,42.9%,21,58,36.2%,6,20,30.0%,14,31,45,8,33,22,6,0,14,0,36,50,-
Avversari,Totale,Casa,38,,,,,,,,,,,,,,,,,,,,,,,,,
