Nº,Giocatore,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,SR,PF,PFD,PIR,EFF,+/-
3,Bruno Cuneo,14:06,0,0,4,0.0%,0,3,0.0%,0,1,0.0%,0,0,0.0%,0,0,0,0,0,0,0,0,2,0,-6,-4,-8
6,Alessandro Tunesi,10:55,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,-16
7,Andrea Barbaro,10:20,2,1,2,50.0%,0,1,0.0%,1,1,100.0%,0,1,0.0%,0,0,0,2,0,1,1,0,2,0,2,4,-1
8,Pablo Cipriani,32:57,4,2,4,50.0%,0,2,0.0%,2,2,100.0%,0,1,0.0%,1,1,2,2,2,1,0,0,2,0,2,4,-2
9,Matteo Sceffer,15:31,2,1,3,33.3%,0,0,0.0%,1,3,33.3%,0,0,0.0%,0,0,0,0,1,1,0,0,3,0,-3,0,-4
12,Marco Agostino,10:18,0,0,1,0.0%,0,0,0.0%,0,1,0.0%,0,0,0.0%,2,0,2,0,2,2,0,0,2,0,-1,1,-14
14,Edoardo bho,21:11,2,1,2,50.0%,0,0,0.0%,1,2,50.0%,0,0,0.0%,1,1,2,0,2,2,0,0,4,0,-1,3,11
17,Ettore Morelli,05:00,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,8
18,Alessandro Ravo,23:38,13,6,9,66.7%,0,1,0.0%,6,8,75.0%,1,2,50.0%,4,3,7,0,4,4,1,0,1,0,16,17,0
19,Mariele Morelli,19:30,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,2,1,3,0,4,0,0,0,1,0,-2,-1,-2
20,Daniele Del Barba,26:28,23,11,15,73.3%,0,4,0.0%,11,11,100.0%,1,2,50.0%,4,5,9,0,4,3,0,0,1,0,25,26,-2
,Totale,,46,22,40,55.0%,0,11,0.0%,22,29,75.9%,2,6,33.3%,14,11,25,4,19,14,2,0,18,0,32,50,-
Avversari,Totale,Trasferta,52,,,,,,,,,,,,,,,,,,,,,,,,
