Nº,Giocatore,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,SR,PF,PFD,PIR,EFF,+/-
4,Matteo Fumagalli,09:15,0,0,2,0.0%,0,0,0.0%,0,2,0.0%,0,0,0.0%,0,1,1,0,3,0,0,0,0,0,-4,-4,-13
6,Alessandro Tunesi,08:50,0,0,1,0.0%,0,0,0.0%,0,1,0.0%,0,0,0.0%,1,0,1,1,2,0,0,0,1,0,-2,-1,0
8,Pablo Cipriani,29:39,7,3,12,25.0%,1,2,50.0%,2,10,20.0%,0,0,0.0%,0,2,2,1,5,3,1,0,1,0,-1,0,-21
9,Matteo Sceffer,15:24,4,1,8,12.5%,0,0,0.0%,1,8,12.5%,2,4,50.0%,1,1,2,0,2,1,0,0,1,0,-5,-4,-26
11,Ettore Scuda,12:02,0,0,7,0.0%,0,3,0.0%,0,4,0.0%,0,0,0.0%,0,0,0,0,2,0,0,0,0,0,-9,-9,-16
12,Marco Agostino,18:21,2,1,2,50.0%,0,0,0.0%,1,2,50.0%,0,0,0.0%,1,2,3,0,1,0,0,0,2,0,1,3,-21
15,Matteo Martinucci,19:50,0,0,3,0.0%,0,1,0.0%,0,2,0.0%,0,2,0.0%,1,0,1,1,2,0,0,0,2,0,-7,-5,1
16,Leonardo Gianera,17:05,17,8,15,53.3%,0,2,0.0%,8,13,61.5%,1,1,100.0%,0,4,4,0,2,3,0,0,3,0,12,15,0
17,Ettore Morelli,12:40,0,0,1,0.0%,0,0,0.0%,0,1,0.0%,0,0,0.0%,1,1,2,1,1,0,0,0,2,0,-1,1,-18
18,Alessandro Ravo,33:08,14,7,17,41.2%,0,2,0.0%,7,15,46.7%,0,0,0.0%,1,12,13,4,6,1,0,0,3,0,13,16,-17
19,Mariele Morelli,23:46,3,1,2,50.0%,0,0,0.0%,1,2,50.0%,1,1,100.0%,3,10,13,1,3,2,0,0,1,0,14,15,-4
,Totale,,47,21,70,30.0%,1,10,10.0%,20,60,33.3%,4,8,50.0%,9,33,42,9,29,10,1,0,16,0,11,27,-
Avversari,Totale,Trasferta,74,,,,,,,,,,,,,,,,,,,,,,,,,
