Nº,Giocatore,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,SR,PF,PFD,PIR,EFF,+/-
0,Daniele Del Barba,25:18,11,5,16,31.2%,0,4,0.0%,5,12,41.7%,1,4,25.0%,5,6,11,2,3,7,0,0,3,0,11,14,-9
43,Matteo Fumagalli,12:31,2,1,2,50.0%,0,0,0.0%,1,2,50.0%,0,0,0.0%,0,0,0,0,1,0,0,0,0,0,0,0,8
45,Matteo Sceffer,17:59,2,1,6,16.7%,0,2,0.0%,1,4,25.0%,0,0,0.0%,0,2,2,1,2,0,0,0,1,0,-3,-2,-3
47,Andrea Barbaro,21:21,1,0,4,0.0%,0,0,0.0%,0,4,0.0%,1,2,50.0%,0,3,3,0,1,1,0,0,4,0,-5,-1,4
48,Pablo Cipriani,19:03,7,3,10,30.0%,1,7,14.3%,2,3,66.7%,0,2,0.0%,3,1,4,0,5,2,0,0,2,0,-3,-1,-3
49,Bruno Cuneo,15:36,8,4,12,33.3%,0,2,0.0%,4,10,40.0%,0,2,0.0%,0,1,1,0,1,0,0,0,3,0,-5,-2,-12
51,Matteo Martinucci,11:25,0,0,3,0.0%,0,1,0.0%,0,2,0.0%,0,0,0.0%,0,0,0,0,1,0,0,0,1,0,-5,-4,-9
54,Mariele Morelli,20:05,4,2,4,50.0%,0,0,0.0%,2,4,50.0%,0,2,0.0%,4,4,8,0,0,0,0,0,0,0,8,8,1
55,Fallou Fall Seringe,09:26,0,0,1,0.0%,0,0,0.0%,0,1,0.0%,0,0,0.0%,1,3,4,0,2,0,0,0,1,0,0,1,-8
56,Ettore Morelli,13:01,0,0,1,0.0%,0,1,0.0%,0,0,0.0%,0,0,0.0%,1,1,2,0,0,1,0,0,1,0,1,2,-10
58,Edoardo Simone,18:24,4,2,4,50.0%,0,1,0.0%,2,3,66.7%,0,0,0.0%,0,0,0,0,1,1,0,0,1,0,1,2,-2
59,Marco Agostino,15:51,2,1,6,16.7%,0,0,0.0%,1,6,16.7%,0,2,0.0%,0,1,1,0,3,0,0,0,0,0,-7,-7,-7
,Totale,,41,19,69,27.5%,1,18,5.6%,18,51,35.3%,2,14,14.3%,14,22,36,3,20,12,0,0,17,0,-7,10,-
Avversari,Totale,Casa,51,,,,,,,,,,,,,,,,,,,,,,,,
