Nº,Giocatore,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,SR,PF,PFD,PIR,EFF,+/-
2,Daniel Del Giorgio,11:23,0,0,5,0.0%,0,1,0.0%,0,4,0.0%,0,0,0.0%,1,0,1,0,0,0,0,0,0,0,-4,-4,-2
3,Bruno Cuneo,16:05,0,0,2,0.0%,0,2,0.0%,0,0,0.0%,0,0,0.0%,1,0,1,1,2,0,0,0,0,0,-2,-2,-14
4,Matteo Fumagalli,09:16,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,1,0,0,0,0,0,-1,-1,-9
7,Andrea Barbaro,17:32,1,0,3,0.0%,0,2,0.0%,0,1,0.0%,1,2,50.0%,1,0,1,0,2,2,0,0,1,0,-3,-2,-3
9,Matteo Sceffer,16:26,2,1,3,33.3%,0,0,0.0%,1,3,33.3%,0,0,0.0%,1,2,3,0,2,0,0,0,1,0,0,1,-16
11,Ettore Scuda,13:09,0,0,2,0.0%,0,0,0.0%,0,2,0.0%,0,0,0.0%,0,0,0,1,3,1,0,0,1,0,-4,-3,-8
12,Marco Agostino,27:04,6,3,9,33.3%,0,0,0.0%,3,9,33.3%,0,0,0.0%,0,3,3,0,0,2,0,0,1,0,4,5,-16
14,Edoardo Simone,22:09,4,2,4,50.0%,0,0,0.0%,2,4,50.0%,0,0,0.0%,1,3,4,0,3,0,1,0,0,0,4,4,-17
17,Ettore Morelli,11:15,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,1,2,3,0,1,0,0,0,0,0,2,2,-12
18,Alessandro Ravo,37:24,6,3,21,14.3%,0,3,0.0%,3,18,16.7%,0,4,0.0%,7,14,21,0,9,1,4,0,0,0,1,1,-17
20,Daniele Del Barba,18:17,4,2,8,25.0%,0,1,0.0%,2,7,28.6%,0,2,0.0%,5,9,14,0,2,2,0,0,5,0,5,10,-1
,Totale,,23,11,57,19.3%,0,9,0.0%,11,48,22.9%,1,8,12.5%,18,33,51,2,25,8,5,0,9,0,2,11,-
Avversari,Totale,Casa,46,,,,,,,,,,,,,,,,,,,,,,,,
