Nº,Giocatore,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PFD,PIR,EFF,+/-
5,Sow Tanor,00:00,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,0,0,0,0,0,0,0,-
6,Provitera Leonardo,17:44,2,1,4,25.0%,0,2,0.0%,1,2,50.0%,0,0,0.0%,0,3,3,1,2,0,0,4,0,-3,1,11
7,Del Giorgio Alessandro,06:53,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,1,1,0,0,0,0,1,0,0,1,-1
8,Del Barba Daniele,25:58,4,2,6,33.3%,0,1,0.0%,2,5,40.0%,0,0,0.0%,0,4,4,1,2,2,0,3,0,2,5,-12
10,Martinucci Nicola,12:04,3,1,2,50.0%,1,1,100.0%,0,1,0.0%,0,0,0.0%,0,2,2,0,2,0,0,0,0,2,2,5
12,Bolotta Guglielmo,30:37,5,2,6,33.3%,1,2,50.0%,1,4,25.0%,0,2,0.0%,0,4,4,3,5,1,0,3,0,-1,2,-10
15,Ravo Emanuele,34:01,6,3,8,37.5%,0,0,0.0%,3,8,37.5%,0,0,0.0%,5,6,11,0,2,4,3,4,0,13,17,-3
17,Sala Danna Giuseppe,33:43,11,4,10,40.0%,0,0,0.0%,4,10,40.0%,3,4,75.0%,2,2,4,1,0,1,0,2,0,8,10,-7
20,Estella Roman Tristan,00:00,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,0,0,0,0,0,0,0,-
21,Balatti Lorenzo,39:00,14,5,11,45.5%,1,2,50.0%,4,9,44.4%,3,8,37.5%,0,6,6,0,8,8,0,2,0,7,9,-3
22,Ka Mouhammadou,00:00,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,0,0,0,0,0,0,0,-
24,Ravo Alessandro,00:00,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,0,0,0,0,0,0,0,-
,Totale,,45,18,47,38.3%,3,8,37.5%,15,39,38.5%,6,14,42.9%,7,28,35,6,21,16,3,19,0,28,47,-
Avversari,Totale,Casa,49,,,,,,,,,,,,,,,,,,,,,,,,
