Nº,Giocatore,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PFD,PIR,EFF,+/-
5,Sow Tanor,14:55,4,2,3,66.7%,0,0,0.0%,2,3,66.7%,0,0,0.0%,1,0,1,0,2,1,0,0,0,3,3,-11
6,Provitera Leonardo,03:17,1,0,0,0.0%,0,0,0.0%,0,0,0.0%,1,2,50.0%,0,1,1,0,0,0,0,0,0,1,1,-6
7,Del Giorgio Alessandro,08:02,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,1,1,0,0,0,0,0,0,1,1,-6
8,Del Barba Daniele,13:35,6,3,7,42.9%,0,1,0.0%,3,6,50.0%,0,0,0.0%,2,2,4,0,0,1,0,4,0,3,7,-13
11,Garbellini Francesco,18:54,2,1,5,20.0%,0,1,0.0%,1,4,25.0%,0,0,0.0%,0,4,4,0,2,0,0,2,0,-2,0,-16
12,Bolotta Guglielmo,30:58,0,0,4,0.0%,0,0,0.0%,0,4,0.0%,0,0,0.0%,1,4,5,1,3,2,1,4,0,-2,2,-19
14,Giorgetta Patrick,19:28,0,0,5,0.0%,0,0,0.0%,0,5,0.0%,0,0,0.0%,3,0,3,1,1,1,0,3,0,-4,-1,-4
17,Sala Danna Giuseppe,26:27,9,4,11,36.4%,0,1,0.0%,4,10,40.0%,1,2,50.0%,2,1,3,0,4,0,0,0,0,0,0,-4
21,Balatti Lorenzo,38:23,27,12,18,66.7%,0,1,0.0%,12,17,70.6%,3,8,37.5%,2,8,10,0,4,4,0,0,0,26,26,-20
22,Ka Mouhammadou,06:20,0,0,1,0.0%,0,0,0.0%,0,1,0.0%,0,0,0.0%,1,1,2,0,0,0,0,1,0,0,1,-1
23,Papa Andrea,19:41,1,0,1,0.0%,0,0,0.0%,0,1,0.0%,1,2,50.0%,3,7,10,2,2,0,0,3,0,6,9,-5
,Totale,,50,22,55,40.0%,0,4,0.0%,22,51,43.1%,6,14,42.9%,15,29,44,4,18,9,1,17,0,32,49,-
Avversari,Totale,Casa,71,,,,,,,,,,,,,,,,,,,,,,,,
