Nº,Giocatore,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PFD,PIR,EFF,+/-
6,Provitera Leonardo,06:41,0,0,1,0.0%,0,1,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,0,0,1,1,0,-1,0,-4
8,Del Barba Daniele,12:38,0,0,4,0.0%,0,1,0.0%,0,3,0.0%,0,0,0.0%,1,3,4,0,5,1,0,4,0,-8,-4,-4
9,Gianera Leonardo,10:42,0,0,1,0.0%,0,0,0.0%,0,1,0.0%,0,0,0.0%,0,1,1,0,2,0,0,1,0,-3,-2,-6
12,Bolotta Guglielmo,16:52,0,0,3,0.0%,0,0,0.0%,0,3,0.0%,0,2,0.0%,0,1,1,1,2,1,2,5,0,-7,-2,-14
14,Giorgetta Patrick,23:24,2,1,5,20.0%,0,0,0.0%,1,5,20.0%,0,0,0.0%,0,0,0,1,2,2,0,1,0,-2,-1,-15
15,Ravo Emanuele,29:50,3,1,6,16.7%,0,1,0.0%,1,5,20.0%,1,1,100.0%,2,10,12,1,5,0,1,1,0,6,7,-16
17,Sala Danna Giuseppe,32:23,13,5,14,35.7%,0,0,0.0%,5,14,35.7%,3,5,60.0%,0,5,5,0,5,2,0,0,0,4,4,-10
20,Estella Roman Tristan,04:11,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,2,2,0,0,0,0,0,0,2,2,-1
21,Balatti Lorenzo,35:56,18,7,11,63.6%,1,2,50.0%,6,9,66.7%,3,10,30.0%,0,8,8,0,6,3,0,1,0,11,12,-16
22,Ka Mouhammadou,04:52,0,0,1,0.0%,0,0,0.0%,0,1,0.0%,0,0,0.0%,0,0,0,0,0,0,0,0,0,-1,-1,-3
23,Papa Andrea,22:31,6,3,3,100.0%,0,0,0.0%,3,3,100.0%,0,0,0.0%,4,3,7,2,0,0,0,2,0,13,15,-16
24,Ravo Alessandro,00:00,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,0,0,0,0,0,0,0,-
,Totale,,42,17,49,34.7%,1,5,20.0%,16,44,36.4%,7,18,38.9%,7,33,40,5,27,9,4,16,0,14,30,-
Avversari,Totale,Casa,63,,,,,,,,,,,,,,,,,,,,,,,,
