Nº,Giocatore,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,SR,PF,PFD,PIR,EFF,+/-
7,Alessandro Del Giorgio,16:04,2,1,3,33.3%,0,1,0.0%,1,2,50.0%,0,0,0.0%,0,2,2,0,0,0,0,0,1,0,1,2,-16
8,Daniele Del Barba,11:01,0,0,2,0.0%,0,2,0.0%,0,0,0.0%,0,0,0.0%,0,2,2,0,0,0,0,0,0,0,0,0,0
10,Nicola Martinucci,10:09,0,0,1,0.0%,0,1,0.0%,0,0,0.0%,0,0,0.0%,0,1,1,0,1,0,0,0,1,0,-2,-1,-13
11,Francesco Garbellini,15:26,2,1,3,33.3%,0,1,0.0%,1,2,50.0%,0,0,0.0%,0,1,1,1,1,0,0,0,1,0,0,1,-20
12,Guglielmo Bolotta,16:54,6,2,10,20.0%,2,7,28.6%,0,3,0.0%,0,2,0.0%,0,1,1,1,0,0,0,0,4,0,-6,-2,-5
14,Andrea Tavasci,12:56,3,1,2,50.0%,0,0,0.0%,1,2,50.0%,1,2,50.0%,0,1,1,0,0,1,0,0,0,0,3,3,-5
15,Emanuele Ravo,26:42,8,4,11,36.4%,0,2,0.0%,4,9,44.4%,0,0,0.0%,3,3,6,2,2,4,0,0,4,0,7,11,-11
17,Giuseppe Sala Danna,17:08,6,3,7,42.9%,0,0,0.0%,3,7,42.9%,0,2,0.0%,0,3,3,3,0,0,0,0,2,0,4,6,-13
21,Lorenzo Balatti,29:47,16,7,15,46.7%,1,5,20.0%,6,10,60.0%,1,6,16.7%,0,7,7,2,0,1,0,0,1,0,12,13,-7
22,Mouhammadou Ka,12:07,2,1,3,33.3%,0,0,0.0%,1,3,33.3%,0,0,0.0%,0,3,3,0,0,0,0,0,1,0,2,3,-12
23,Matteo Pedrini,19:43,6,3,6,50.0%,0,0,0.0%,3,6,50.0%,0,0,0.0%,2,5,7,0,1,0,0,0,1,0,8,9,-5
24,Alessandro Ravo,12:03,0,0,3,0.0%,0,2,0.0%,0,1,0.0%,0,0,0.0%,0,1,1,1,0,0,0,0,2,0,-3,-1,2
,Totale,,51,23,66,34.8%,3,21,14.3%,20,45,44.4%,2,12,16.7%,5,30,35,10,5,6,0,0,18,0,26,44,-
Avversari,Totale,Trasferta,72,,,,,,,,,,,,,,,,,,,,,,,,
