Nº,Giocatore,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,SR,PF,PFD,PIR,EFF,+/-
7,Alessandro Del Giorgio,18:23,4,2,5,40.0%,0,1,0.0%,2,4,50.0%,0,0,0.0%,1,3,4,1,4,3,0,0,1,0,4,5,-33
8,Daniele Del Barba,11:08,0,0,2,0.0%,0,0,0.0%,0,2,0.0%,0,0,0.0%,0,2,2,0,2,1,0,0,3,0,-4,-1,-25
10,Nicola Martinucci,16:10,2,0,1,0.0%,0,1,0.0%,0,0,0.0%,2,2,100.0%,0,0,0,1,2,0,0,0,0,0,0,0,-31
11,Francesco Garbellini,15:19,4,2,4,50.0%,0,1,0.0%,2,3,66.7%,0,0,0.0%,0,3,3,2,2,1,0,0,0,0,6,6,-18
12,Guglielmo Bolotta,22:05,8,3,7,42.9%,2,6,33.3%,1,1,100.0%,0,0,0.0%,1,2,3,0,3,0,0,0,1,0,3,4,-20
15,Emanuele Ravo,26:29,7,3,12,25.0%,0,2,0.0%,3,10,30.0%,1,2,50.0%,0,2,2,0,3,6,0,0,2,0,0,2,-32
17,Giuseppe Sala Danna,09:40,2,1,3,33.3%,0,0,0.0%,1,3,33.3%,0,0,0.0%,0,0,0,0,1,0,0,0,0,0,-1,-1,-21
21,Lorenzo Balatti,25:02,9,3,9,33.3%,0,2,0.0%,3,7,42.9%,3,6,50.0%,0,2,2,1,3,6,0,0,1,0,5,6,-33
22,Mouhammadou Ka,12:01,2,1,2,50.0%,0,0,0.0%,1,2,50.0%,0,0,0.0%,0,2,2,0,1,0,0,0,0,0,2,2,-13
23,Matteo Pedrini,18:49,4,1,7,14.3%,0,0,0.0%,1,7,14.3%,2,4,50.0%,5,2,7,0,2,0,0,0,3,0,-2,1,-25
24,Alessandro Ravo,09:15,0,0,1,0.0%,0,0,0.0%,0,1,0.0%,0,0,0.0%,0,0,0,0,2,2,0,0,1,0,-2,-1,-7
50,Andrea Papa,15:39,2,1,3,33.3%,0,0,0.0%,1,3,33.3%,0,0,0.0%,2,1,3,0,3,0,0,0,0,0,0,0,-17
,Totale,,44,17,56,30.4%,2,13,15.4%,15,43,34.9%,8,14,57.1%,9,19,28,5,28,19,0,0,12,0,11,23,-
Avversari,Totale,Casa,99,,,,,,,,,,,,,,,,,,,,,,,,
