Nº,Giocatore,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,SR,PF,PFD,PIR,EFF,+/-
5,Alessandro Sceffer,13:36,0,0,3,0.0%,0,0,0.0%,0,3,0.0%,0,0,0.0%,0,6,6,0,0,0,0,0,0,0,3,3,-1
10,Nicola Martinucci,13:50,3,1,3,33.3%,0,0,0.0%,1,3,33.3%,1,2,50.0%,1,5,6,0,2,0,0,0,2,0,2,4,1
11,Francesco Garbellini,15:33,4,2,5,40.0%,0,1,0.0%,2,4,50.0%,0,0,0.0%,0,1,1,0,1,2,0,0,2,0,1,3,-12
12,Guglielmo Bolotta,21:21,0,0,6,0.0%,0,2,0.0%,0,4,0.0%,0,0,0.0%,0,1,1,0,1,1,0,0,5,0,-10,-5,-19
14,Andrea Tavasci,07:24,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,1,1,0,0,0,0,0,0,0,1,1,6
15,Emanuele Ravo,27:00,5,2,6,33.3%,0,0,0.0%,2,6,33.3%,1,4,25.0%,2,5,7,1,0,0,0,0,2,0,4,6,-9
17,Giuseppe Sala Danna,14:34,12,6,10,60.0%,0,1,0.0%,6,9,66.7%,0,0,0.0%,1,1,2,0,1,1,0,0,1,0,9,10,-3
20,Tanor Sow,09:44,3,1,2,50.0%,1,1,100.0%,0,1,0.0%,0,0,0.0%,0,0,0,0,0,0,0,0,0,0,2,2,-4
21,Lorenzo Balatti,32:17,15,3,11,27.3%,2,7,28.6%,1,4,25.0%,7,8,87.5%,1,3,4,0,2,1,0,0,1,0,8,9,-10
22,Mouhammadou Ka,10:45,0,0,1,0.0%,0,0,0.0%,0,1,0.0%,0,0,0.0%,2,2,4,0,0,0,0,0,0,0,3,3,9
23,Matteo Pedrini,29:39,5,2,8,25.0%,0,0,0.0%,2,8,25.0%,1,2,50.0%,4,6,10,0,1,3,0,0,3,0,7,10,-22
24,Lorenzo Salerno,04:17,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,0,1,0,0,0,0,1,1,-1
,Totale,,47,17,55,30.9%,3,12,25.0%,14,43,32.6%,10,16,62.5%,11,31,42,1,8,9,0,0,16,0,31,47,-
Avversari,Totale,Trasferta,60,,,,,,,,,,,,,,,,,,,,,,,,
