Nº,Giocatore,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,SR,PF,PFD,PIR,EFF,+/-
5,Alessandro Sceffer,14:57,3,1,2,50.0%,0,0,0.0%,1,2,50.0%,1,2,50.0%,2,0,2,1,1,2,1,0,3,0,3,6,14
10,Nicola Martinucci,17:15,7,3,6,50.0%,0,0,0.0%,3,6,50.0%,1,4,25.0%,0,1,1,0,4,2,0,0,0,0,0,0,-5
11,Thristan Estalla Roman,08:35,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,1,1,2,0,0,0,0,0,0,0,2,2,2
12,Guglielmo Bolotta,11:01,0,0,7,0.0%,0,0,0.0%,0,7,0.0%,0,0,0.0%,0,1,1,0,3,1,0,0,0,0,-8,-8,-10
14,Andrea Tavasci,15:35,0,0,1,0.0%,0,0,0.0%,0,1,0.0%,0,0,0.0%,1,2,3,2,1,2,0,0,2,0,3,5,8
15,Emanuele Ravo,23:16,8,3,8,37.5%,0,0,0.0%,3,8,37.5%,2,4,50.0%,2,4,6,4,2,3,0,0,3,0,9,12,14
17,Giuseppe Sala Danna,24:25,11,4,12,33.3%,0,2,0.0%,4,10,40.0%,3,6,50.0%,3,2,5,1,1,1,1,0,2,0,5,7,7
20,Tanor Sow,11:38,2,1,3,33.3%,0,2,0.0%,1,1,100.0%,0,0,0.0%,0,1,1,0,1,0,0,0,1,0,-1,0,14
21,Lorenzo Balatti,14:37,12,5,7,71.4%,0,0,0.0%,5,7,71.4%,2,2,100.0%,2,3,5,2,2,1,0,0,2,0,14,16,18
23,Matteo Pedrini,19:29,2,1,4,25.0%,0,1,0.0%,1,3,33.3%,0,3,0.0%,1,4,5,1,0,3,1,0,2,0,4,6,-2
24,Francesco Garbellini,16:18,8,3,6,50.0%,2,3,66.7%,1,3,33.3%,0,0,0.0%,0,3,3,1,1,2,0,0,2,0,8,10,17
50,Andrea Papa,22:46,4,2,5,40.0%,0,1,0.0%,2,4,50.0%,0,0,0.0%,0,9,9,2,2,1,0,0,2,0,9,11,18
,Totale,,57,23,61,37.7%,2,9,22.2%,21,52,40.4%,9,21,42.9%,12,31,43,14,18,18,3,0,19,0,48,67,-
Avversari,Totale,Trasferta,38,,,,,,,,,,,,,,,,,,,,,,,,
