Nº,Giocatore,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,SR,PF,PFD,PIR,EFF,+/-
5,Alessandro Sceffer,25:18,3,1,3,33.3%,0,0,0.0%,1,3,33.3%,1,2,50.0%,1,1,2,1,3,2,1,0,3,0,0,3,-21
7,Thristan Estalla Roman,05:59,0,0,1,0.0%,0,0,0.0%,0,1,0.0%,0,0,0.0%,0,0,0,0,0,0,0,0,1,0,-2,-1,-6
8,Daniele Del Barba,17:09,2,1,3,33.3%,0,0,0.0%,1,3,33.3%,0,4,0.0%,2,2,4,0,6,6,0,0,3,0,-3,0,-16
9,Leonardo Gianera,17:21,2,1,6,16.7%,0,1,0.0%,1,5,20.0%,0,4,0.0%,0,1,1,1,6,3,0,0,1,0,-9,-8,-1
10,Nicola Martinucci,11:47,1,0,1,0.0%,0,0,0.0%,0,1,0.0%,1,2,50.0%,1,1,2,1,2,1,0,0,2,0,-1,1,-3
12,Guglielmo Bolotta,17:51,2,1,7,14.3%,0,2,0.0%,1,5,20.0%,0,0,0.0%,0,4,4,0,3,2,0,0,4,0,-5,-1,-11
15,Emanuele Ravo,28:33,11,5,9,55.6%,0,0,0.0%,5,9,55.6%,1,2,50.0%,1,8,9,1,6,2,0,0,5,0,7,12,-12
17,Giuseppe Sala Danna,20:38,8,4,8,50.0%,0,1,0.0%,4,7,57.1%,0,0,0.0%,1,1,2,1,3,0,0,0,1,0,3,4,-5
20,Tanor Sow,09:36,0,0,1,0.0%,0,0,0.0%,0,1,0.0%,0,0,0.0%,0,1,1,0,0,1,0,0,1,0,0,1,-12
21,Lorenzo Balatti,15:05,11,4,6,66.7%,1,1,100.0%,3,5,60.0%,2,6,33.3%,1,2,3,1,2,1,0,0,0,0,8,8,2
24,Alessandro Ravo,10:34,0,0,1,0.0%,0,0,0.0%,0,1,0.0%,0,0,0.0%,0,1,1,0,0,1,0,0,1,0,0,1,-6
50,Andrea Papa,20:09,2,1,8,12.5%,0,1,0.0%,1,7,14.3%,0,6,0.0%,4,2,6,0,2,2,0,0,1,0,-6,-5,-9
,Totale,,42,18,54,33.3%,1,6,16.7%,17,48,35.4%,5,26,19.2%,11,24,35,6,33,21,1,0,23,0,-8,15,-
Avversari,Totale,Casa,62,,,,,,,,,,,,,,,,,,,,,,,,
