Nº,Giocatore,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,SR,PF,PFD,PIR,EFF,+/-
5,Alessandro Sceffer,13:37,2,1,5,20.0%,0,1,0.0%,1,4,25.0%,0,0,0.0%,0,2,2,2,1,4,0,0,5,0,0,5,-5
7,Alessandro Del Giorgio,20:02,2,0,5,0.0%,0,1,0.0%,0,4,0.0%,2,2,100.0%,0,0,0,1,1,1,0,0,0,0,-2,-2,-1
8,Daniele Del Barba ,16:10,2,1,2,50.0%,0,1,0.0%,1,1,100.0%,0,0,0.0%,2,1,3,0,0,3,0,0,4,0,3,7,2
9,Marco Agostino ,07:44,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,2,0,0,0,1,0,-3,-2,-9
12,Guglielmo Bolotta,15:52,1,0,5,0.0%,0,2,0.0%,0,3,0.0%,1,2,50.0%,0,1,1,1,0,1,0,0,2,0,-4,-2,-18
15,Emanuele Ravo,18:45,3,0,3,0.0%,0,0,0.0%,0,3,0.0%,3,6,50.0%,1,6,7,0,0,1,0,0,2,0,3,5,-23
17,Giuseppe Sala Danna,23:53,14,6,10,60.0%,0,3,0.0%,6,7,85.7%,2,3,66.7%,0,0,0,0,0,0,0,0,1,0,8,9,-25
20,Tanor Sow,10:50,0,0,1,0.0%,0,1,0.0%,0,0,0.0%,0,0,0.0%,0,1,1,0,0,0,0,0,1,0,-1,0,-13
21,Lorenzo Balatti,20:29,12,2,5,40.0%,0,2,0.0%,2,3,66.7%,8,16,50.0%,0,6,6,1,2,1,0,0,2,0,5,7,-19
22,Mouhammadou Ka,16:13,2,1,2,50.0%,0,0,0.0%,1,2,50.0%,0,0,0.0%,1,4,5,0,0,0,0,0,2,0,4,6,-19
23,Matteo Pedrini,23:05,10,5,13,38.5%,0,0,0.0%,5,13,38.5%,0,0,0.0%,9,4,13,1,2,0,0,0,2,0,12,14,-13
24,Alessandro Ravo,13:20,4,2,2,100.0%,0,0,0.0%,2,2,100.0%,0,0,0.0%,2,0,2,1,1,1,0,0,1,0,6,7,3
,Totale,,52,18,53,34.0%,0,11,0.0%,18,42,42.9%,16,29,55.2%,15,25,40,7,9,12,0,0,23,0,31,54,-
Avversari,Totale,Trasferta,80,,,,,,,,,,,,,,,,,,,,,,,,,
