Nº,Giocatore,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,SR,PF,PFD,PIR,EFF,+/-
5,Alessandro Sceffer,18:23,9,4,6,66.7%,1,1,100.0%,3,5,60.0%,0,2,0.0%,4,4,8,3,0,6,0,0,2,0,20,22,17
7,Alessandro Del Giorgio,13:37,2,1,3,33.3%,0,0,0.0%,1,3,33.3%,0,0,0.0%,1,2,3,1,0,0,0,0,1,0,3,4,0
8,Daniele Del Barba,12:25,2,1,3,33.3%,0,0,0.0%,1,3,33.3%,0,0,0.0%,0,3,3,0,0,0,0,0,1,0,2,3,2
10,Nicola Martinucci,18:17,6,3,6,50.0%,0,0,0.0%,3,6,50.0%,0,3,0.0%,0,2,2,0,1,3,0,0,1,0,3,4,13
11,Francesco Garbellini,17:57,2,1,6,16.7%,0,1,0.0%,1,5,20.0%,0,0,0.0%,1,5,6,2,2,3,0,0,1,0,5,6,18
12,Guglielmo Bolotta,16:06,5,2,9,22.2%,0,3,0.0%,2,6,33.3%,1,2,50.0%,2,3,5,1,0,1,0,0,1,0,3,4,13
15,Emanuele Ravo,22:20,1,0,7,0.0%,0,0,0.0%,0,7,0.0%,1,2,50.0%,5,9,14,1,1,1,1,0,1,0,8,9,12
17,Giuseppe Sala Danna,23:17,10,3,12,25.0%,2,4,50.0%,1,8,12.5%,2,4,50.0%,0,2,2,1,3,3,0,0,2,0,0,2,14
20,Tanor Sow,07:55,4,2,3,66.7%,0,0,0.0%,2,3,66.7%,0,0,0.0%,0,2,2,0,0,0,0,0,0,0,5,5,9
21,Lorenzo Balatti,20:15,9,3,5,60.0%,0,1,0.0%,3,4,75.0%,3,6,50.0%,1,1,2,2,2,2,0,0,0,0,8,8,12
22,Mouhammadou Ka,12:24,0,0,1,0.0%,0,0,0.0%,0,1,0.0%,0,0,0.0%,0,1,1,1,0,1,1,0,0,0,3,3,1
50,Andrea Papa,16:58,8,4,6,66.7%,0,0,0.0%,4,6,66.7%,0,0,0.0%,1,1,2,1,1,0,0,0,3,0,5,8,29
,Totale,,58,24,67,35.8%,3,10,30.0%,21,57,36.8%,7,19,36.8%,15,35,50,13,10,20,2,0,13,0,65,78,-
Avversari,Totale,Casa,30,,,,,,,,,,,,,,,,,,,,,,,,
