Nº,Giocatore,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,SR,PF,PFD,PIR,EFF,+/-
5,Alessandro Sceffer,13:28,9,3,6,50.0%,0,0,0.0%,3,6,50.0%,3,3,100.0%,1,0,1,0,0,1,0,0,3,0,5,8,-9
7,Alessandro Del Giorgio,14:10,2,1,1,100.0%,0,0,0.0%,1,1,100.0%,0,1,0.0%,1,1,2,2,0,1,0,0,3,0,3,6,0
10,Nicola Martinucci,14:46,0,0,3,0.0%,0,0,0.0%,0,3,0.0%,0,0,0.0%,1,2,3,0,1,0,0,0,1,0,-2,-1,-7
11,Francesco Garbellini,18:17,3,1,4,25.0%,1,1,100.0%,0,3,0.0%,0,0,0.0%,1,0,1,2,0,2,0,0,1,0,4,5,-4
12,Guglielmo Bolotta,17:35,3,1,10,10.0%,1,6,16.7%,0,4,0.0%,0,2,0.0%,0,1,1,0,1,0,0,0,1,0,-9,-8,-18
15,Emanuele Ravo,16:16,8,3,6,50.0%,1,1,100.0%,2,5,40.0%,1,2,50.0%,2,3,5,0,1,1,0,0,4,0,5,9,1
17,Giuseppe Sala Danna,16:56,15,6,10,60.0%,1,1,100.0%,5,9,55.6%,2,7,28.6%,3,1,4,0,0,1,0,0,2,0,9,11,-2
20,Tanor Sow,15:18,5,2,6,33.3%,1,2,50.0%,1,4,25.0%,0,0,0.0%,1,0,1,0,4,0,0,0,0,0,-2,-2,-7
21,Lorenzo Balatti,20:00,9,3,9,33.3%,1,3,33.3%,2,6,33.3%,2,4,50.0%,2,1,3,0,1,0,0,0,0,0,3,3,-31
22,Mouhammadou Ka,15:47,0,0,2,0.0%,0,0,0.0%,0,2,0.0%,0,0,0.0%,1,7,8,0,1,1,0,0,2,0,4,6,6
23,Matteo Pedrini,17:11,2,1,4,25.0%,0,0,0.0%,1,4,25.0%,0,2,0.0%,1,1,2,1,0,0,0,0,2,0,-2,0,-20
50,Andrea Papa,16:46,0,0,5,0.0%,0,0,0.0%,0,5,0.0%,0,0,0.0%,5,4,9,0,3,1,1,0,1,0,2,3,-34
,Totale,,56,21,66,31.8%,6,14,42.9%,15,52,28.8%,8,21,38.1%,19,21,40,5,12,8,1,0,20,0,20,40,-
Avversari,Totale,Trasferta,81,,,,,,,,,,,,,,,,,,,,,,,,
