Nº,Giocatore,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,SR,PF,PFD,PIR,EFF,+/-
5,Alessandro Sceffer,20:27,3,1,7,14.3%,0,1,0.0%,1,6,16.7%,1,8,12.5%,2,4,6,1,3,0,0,0,3,0,-9,-6,-41
7,Alessandro Del Giorgio,13:58,0,0,3,0.0%,0,1,0.0%,0,2,0.0%,0,0,0.0%,1,1,2,1,1,0,0,0,4,0,-5,-1,-25
8,Daniele Del Barba,07:53,0,0,3,0.0%,0,1,0.0%,0,2,0.0%,0,2,0.0%,1,0,1,0,0,1,0,0,3,0,-6,-3,-17
10,Nicola Martinucci,20:14,3,1,6,16.7%,1,2,50.0%,0,4,0.0%,0,2,0.0%,1,4,5,0,3,2,0,0,0,0,0,0,-35
11,Francesco Garbellini,09:20,2,1,3,33.3%,0,1,0.0%,1,2,50.0%,0,2,0.0%,1,1,2,1,1,1,0,0,2,0,-1,1,-10
12,Guglielmo Bolotta,18:27,3,1,10,10.0%,0,4,0.0%,1,6,16.7%,1,2,50.0%,0,3,3,1,8,1,0,0,4,0,-14,-10,-31
14,Andrea Tavasci,09:48,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,1,1,0,2,0,0,0,1,0,-2,-1,-13
15,Emanuele Ravo,23:09,4,2,6,33.3%,0,0,0.0%,2,6,33.3%,0,0,0.0%,2,7,9,2,4,4,0,0,1,0,10,11,-38
17,Giuseppe Sala Danna,21:05,4,1,9,11.1%,0,1,0.0%,1,8,12.5%,2,2,100.0%,0,1,1,0,0,1,0,0,1,0,-3,-2,-38
21,Lorenzo Balatti,24:08,3,1,8,12.5%,1,3,33.3%,0,5,0.0%,0,2,0.0%,1,2,3,1,5,1,0,0,2,0,-8,-6,-47
22,Mouhammadou Ka,15:34,3,1,2,50.0%,0,0,0.0%,1,2,50.0%,1,2,50.0%,1,1,2,0,2,1,1,0,3,0,0,3,-20
50,Andrea Papa,15:57,4,2,5,40.0%,0,0,0.0%,2,5,40.0%,0,0,0.0%,2,2,4,0,0,3,0,0,0,0,8,8,-25
,Totale,,29,11,62,17.7%,2,14,14.3%,9,48,18.8%,5,22,22.7%,12,27,39,7,29,15,1,0,24,0,-30,-6,-
Avversari,Totale,Casa,97,,,,,,,,,,,,,,,,,,,,,,,,
