Nº,Giocatore,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,SR,PF,PFD,PIR,EFF,+/-
5,Alessandro Sceffer,12:25,2,1,3,33.3%,0,1,0.0%,1,2,50.0%,0,0,0.0%,1,0,1,0,0,0,0,0,5,0,-4,1,-5
7,Alessandro Del Giorgio,13:51,0,0,2,0.0%,0,0,0.0%,0,2,0.0%,0,0,0.0%,0,2,2,0,0,0,0,0,1,0,-1,0,-12
8,Daniele Del Barba,05:32,0,0,1,0.0%,0,0,0.0%,0,1,0.0%,0,2,0.0%,2,0,2,0,0,0,0,0,1,0,-2,-1,-14
10,Nicola Martinucci,18:14,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,2,2,1,1,0,0,0,1,0,1,2,-1
11,Francesco Garbellini,15:37,0,0,3,0.0%,0,1,0.0%,0,2,0.0%,0,0,0.0%,0,2,2,2,4,0,0,0,3,0,-6,-3,-12
12,Guglielmo Bolotta,18:37,6,2,4,50.0%,1,3,33.3%,1,1,100.0%,1,2,50.0%,0,2,2,1,0,2,0,0,2,0,6,8,-1
14,Andrea Tavasci,10:24,0,0,2,0.0%,0,0,0.0%,0,2,0.0%,0,0,0.0%,0,2,2,1,0,0,0,0,2,0,-1,1,8
15,Emanuele Ravo,27:22,17,7,18,38.9%,1,3,33.3%,6,15,40.0%,2,2,100.0%,1,8,9,0,0,1,1,0,4,0,13,17,7
21,Lorenzo Balatti,28:29,27,8,16,50.0%,3,7,42.9%,5,9,55.6%,8,9,88.9%,0,8,8,1,0,1,0,0,5,0,23,28,-5
23,Matteo Pedrini,27:07,4,2,9,22.2%,0,0,0.0%,2,9,22.2%,0,2,0.0%,5,3,8,1,0,0,0,0,2,0,2,4,-23
24,Alessandro Ravo,09:00,2,1,1,100.0%,0,0,0.0%,1,1,100.0%,0,0,0.0%,0,0,0,0,0,0,0,0,0,0,2,2,-5
50,Andrea Papa,13:22,4,2,3,66.7%,0,0,0.0%,2,3,66.7%,0,0,0.0%,2,5,7,0,0,1,0,0,3,0,8,11,3
,Totale,,62,23,62,37.1%,5,15,33.3%,18,47,38.3%,11,17,64.7%,11,34,45,7,5,5,1,0,30,0,40,70,-
Avversari,Totale,Trasferta,74,,,,,,,,,,,,,,,,,,,,,,,,
