Nº,Giocatore,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,SR,PF,PFD,PIR,EFF,+/-
5,Alessandro Sceffer,23:00,6,3,7,42.9%,0,0,0.0%,3,7,42.9%,0,0,0.0%,2,2,4,0,1,0,0,0,4,0,1,5,-26
7,Alessandro Del Giorgio,25:57,2,1,4,25.0%,0,2,0.0%,1,2,50.0%,0,0,0.0%,0,2,2,0,2,6,0,0,0,0,5,5,-16
8,Daniele Del Barba,17:31,1,0,3,0.0%,0,1,0.0%,0,2,0.0%,1,4,25.0%,2,3,5,1,0,0,0,0,0,0,1,1,-19
9,Marco Agostino,07:42,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,2,2,0,1,0,0,0,1,0,0,1,1
10,Nicola Martinucci,15:02,0,0,5,0.0%,0,2,0.0%,0,3,0.0%,0,0,0.0%,0,1,1,0,0,1,0,0,0,0,-3,-3,-10
14,Andrea Tavasci,16:06,0,0,1,0.0%,0,0,0.0%,0,1,0.0%,0,0,0.0%,0,1,1,1,1,0,0,0,1,0,-1,0,-25
15,Emanuele Ravo,29:46,8,3,10,30.0%,0,1,0.0%,3,9,33.3%,2,2,100.0%,1,7,8,2,0,1,0,0,2,0,10,12,-28
17,Giuseppe Sala Danna,30:40,6,2,13,15.4%,0,4,0.0%,2,9,22.2%,2,2,100.0%,0,1,1,1,1,0,0,0,1,0,-5,-4,-19
22,Mouhammadou Ka,17:43,2,1,5,20.0%,0,0,0.0%,1,5,20.0%,0,2,0.0%,2,2,4,1,1,1,0,0,1,0,0,1,-16
50,Andrea Papa,16:33,12,6,9,66.7%,0,0,0.0%,6,9,66.7%,0,0,0.0%,3,7,10,1,2,1,0,0,3,0,16,19,-2
,Totale,,37,16,57,28.1%,0,10,0.0%,16,47,34.0%,5,10,50.0%,10,28,38,7,9,10,0,0,13,0,24,37,-
Avversari,Totale,Trasferta,69,,,,,,,,,,,,,,,,,,,,,,,,
